,5,1.0,2,3,4,6,7.0,8.0,9,,,,
157.0,2020-11-15,156.0,观念、利益与政治:从黄石公园管理看美国早期国家公园发展的历史困境(1872—1916年),高科,安徽史学,期刊,2.0,678.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=156&recid=&FileName=AFSX202006015&DbName=CJFDLAST2021&DbCode=CJFD&yx=&pr=&URLID=,,,,
158.0,2020-11-15,157.0,燕京大学教师与学生运动探论(1946—1948年),张德明,安徽史学,期刊,1.0,188.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=157&recid=&FileName=AFSX202006012&DbName=CJFDLAST2021&DbCode=CJFD&yx=&pr=&URLID=,,,,
159.0,2020-11-15,158.0,清代直隶义仓的兴废——兼论光绪初年方宗诚在枣强的义仓建设,郝红暖,安徽史学,期刊,,138.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=158&recid=&FileName=AFSX202006017&DbName=CJFDLAST2021&DbCode=CJFD&yx=&pr=&URLID=,,,,
160.0,2020-11-15,159.0,压迫与抗争:海关总税务司赫德继任者问题新探,张志勇,安徽史学,期刊,,192.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=159&recid=&FileName=AFSX202006004&DbName=CJFDLAST2021&DbCode=CJFD&yx=&pr=&URLID=,,,,
161.0,2020-11-15,160.0,1914—1915年中日胶海关交涉,景菲菲,安徽史学,期刊,,164.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=160&recid=&FileName=AFSX202006008&DbName=CJFDLAST2021&DbCode=CJFD&yx=&pr=&URLID=,,,,
162.0,2020-11-15,161.0,民国时期慈善组织的联合与互动,蔡勤禹; 姜志浩,安徽史学,期刊,,315.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=161&recid=&FileName=AFSX202006010&DbName=CJFDLAST2021&DbCode=CJFD&yx=&pr=&URLID=,,,,
163.0,2020-11-15,162.0,九一八事变后的学生反日运动与党派政争,周斌,安徽史学,期刊,3.0,316.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=162&recid=&FileName=AFSX202006011&DbName=CJFDLAST2021&DbCode=CJFD&yx=&pr=&URLID=,,,,
164.0,2020-11-15,163.0,张廷玉晚节考,严萍,安徽史学,期刊,1.0,169.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=163&recid=&FileName=AFSX202006016&DbName=CJFDLAST2021&DbCode=CJFD&yx=&pr=&URLID=,,,,
165.0,2020-11-15,164.0,传统时代的经济行为与技术路径——以清代剥运及其对漕船形制的塑造为中心,刘仲华,安徽史学,期刊,1.0,170.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=164&recid=&FileName=AFSX202006002&DbName=CJFDLAST2021&DbCode=CJFD&yx=&pr=&URLID=,,,,
166.0,2020-11-15,165.0,晚明内阁阁臣郑以伟与西学,陈拓,安徽史学,期刊,,175.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=165&recid=&FileName=AFSX202006003&DbName=CJFDLAST2021&DbCode=CJFD&yx=&pr=&URLID=,,,,
167.0,2020-11-15,166.0,朱焕柳摄影作品,朱焕柳,安徽史学,期刊,,18.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=166&recid=&FileName=AFSX202006020&DbName=CJFDLAST2021&DbCode=CJFD&yx=&pr=&URLID=,,,,
168.0,2020-09-15,167.0,“厉行国历”:南京国民政府的历书印制发行,朱文哲,安徽史学,期刊,,164.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=167&recid=&FileName=AFSX202005011&DbName=CJFDLAST2020&DbCode=CJFD&yx=&pr=&URLID=,,,,
169.0,2020-09-15,168.0,超越私有:英国保守党政府国有医院改革探析(1979—1997年),张春梅; 王玉洁,安徽史学,期刊,,144.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=168&recid=&FileName=AFSX202005016&DbName=CJFDLAST2020&DbCode=CJFD&yx=&pr=&URLID=,,,,
170.0,2020-09-15,169.0,方英摄影作品,方英,安徽史学,期刊,,25.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=169&recid=&FileName=AFSX202005020&DbName=CJFDLAST2020&DbCode=CJFD&yx=&pr=&URLID=,,,,
171.0,2020-09-15,170.0,试论英国工业化时期的禁酒运动,王晨辉,安徽史学,期刊,2.0,264.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=170&recid=&FileName=AFSX202005015&DbName=CJFDLAST2020&DbCode=CJFD&yx=&pr=&URLID=,,,,
172.0,2020-09-15,171.0,《三国史记》“国内”与“国内城”解析,苗威,安徽史学,期刊,,186.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=171&recid=&FileName=AFSX202005014&DbName=CJFDLAST2020&DbCode=CJFD&yx=&pr=&URLID=,,,,
173.0,2020-09-15,172.0,明清北方宗族的新探索(2015—2019年),常建华,安徽史学,期刊,5.0,583.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=172&recid=&FileName=AFSX202005017&DbName=CJFDLAST2020&DbCode=CJFD&yx=&pr=&URLID=,,,,
174.0,2020-09-15,173.0,伊尹事迹在汉代的传播——关于史实与史料关系的个案考察,王文涛; 苑苑,安徽史学,期刊,,273.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=173&recid=&FileName=AFSX202005001&DbName=CJFDLAST2020&DbCode=CJFD&yx=&pr=&URLID=,,,,
175.0,2020-09-15,174.0,君臣庆会:宋代私家御书阁的营建与赐名,宋晓希; 黄博,安徽史学,期刊,,179.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=174&recid=&FileName=AFSX202005002&DbName=CJFDLAST2020&DbCode=CJFD&yx=&pr=&URLID=,,,,
176.0,2020-09-15,175.0,论明初功臣集团政治文化嬗变,朱忠文,安徽史学,期刊,,320.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=175&recid=&FileName=AFSX202005003&DbName=CJFDLAST2020&DbCode=CJFD&yx=&pr=&URLID=,,,,
177.0,2020-09-15,176.0,从王恭厂灾的神异化书写看明末政治及社会生态,余焜,安徽史学,期刊,1.0,663.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=176&recid=&FileName=AFSX202005004&DbName=CJFDLAST2020&DbCode=CJFD&yx=&pr=&URLID=,,,,
178.0,2020-09-15,177.0,村庙与众生:清朝代州村庙修缮与村落生活的互动,赵新平; 王超宇,安徽史学,期刊,3.0,242.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=177&recid=&FileName=AFSX202005005&DbName=CJFDLAST2020&DbCode=CJFD&yx=&pr=&URLID=,,,,
179.0,2020-09-15,178.0,甲午至戊戌期间的铨选议改与保举定位,林浩彬,安徽史学,期刊,1.0,99.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=178&recid=&FileName=AFSX202005007&DbName=CJFDLAST2020&DbCode=CJFD&yx=&pr=&URLID=,,,,
180.0,2020-09-15,179.0,洪宪帝制时期的御用机构,胡晓,安徽史学,期刊,,165.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=179&recid=&FileName=AFSX202005008&DbName=CJFDLAST2020&DbCode=CJFD&yx=&pr=&URLID=,,,,
181.0,2020-09-15,180.0,民国北京政府时期镇守使制研究,冯巧霞,安徽史学,期刊,1.0,178.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=180&recid=&FileName=AFSX202005009&DbName=CJFDLAST2020&DbCode=CJFD&yx=&pr=&URLID=,,,,
182.0,2020-09-15,181.0,北洋政府时期米禁政策研究——以苏米弛禁案为中心(1918—1920年),邸宏霆,安徽史学,期刊,,169.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=181&recid=&FileName=AFSX202005010&DbName=CJFDLAST2020&DbCode=CJFD&yx=&pr=&URLID=,,,,
183.0,2020-09-15,182.0,从“解放妇女”到“妇女解放”——1949年前后晋西北农村妇女分工变化之考察,王莉莉; 岳谦厚,安徽史学,期刊,,391.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=182&recid=&FileName=AFSX202005012&DbName=CJFDLAST2020&DbCode=CJFD&yx=&pr=&URLID=,,,,
184.0,2020-09-15,183.0,20世纪50年代中共对手工业社会主义改造对象认识演进探析,韩晓青,安徽史学,期刊,,477.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=183&recid=&FileName=AFSX202005013&DbName=CJFDLAST2020&DbCode=CJFD&yx=&pr=&URLID=,,,,
185.0,2020-09-15,184.0,清末民初苏浙皖民间道士门图刍议,薛梦缘,安徽史学,期刊,,131.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=184&recid=&FileName=AFSX202005006&DbName=CJFDLAST2020&DbCode=CJFD&yx=&pr=&URLID=,,,,
186.0,2020-09-15,185.0,化“危”为“机”:皖南事变前后中国共产党应对反共高潮的策略与成效,李玓,安徽史学,期刊,1.0,2220.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=185&recid=&FileName=AFSX202005018&DbName=CJFDLAST2020&DbCode=CJFD&yx=&pr=&URLID=,,,,
187.0,2020-09-15,186.0,安徽小三线建设述论,李云; 张胜; 徐有威,安徽史学,期刊,5.0,417.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=186&recid=&FileName=AFSX202005019&DbName=CJFDLAST2020&DbCode=CJFD&yx=&pr=&URLID=,,,,
188.0,2020-07-15,187.0,清代民间的路桥会与桥道兴修——基于徽州地区为中心的研究,童旭,安徽史学,期刊,1.0,163.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=187&recid=&FileName=AFSX202004016&DbName=CJFDLAST2020&DbCode=CJFD&yx=&pr=&URLID=,,,,
189.0,2020-07-15,188.0,华南农业大学农史研究所藏两种徽州鱼鳞册考述,杨品优,安徽史学,期刊,,133.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=188&recid=&FileName=AFSX202004017&DbName=CJFDLAST2020&DbCode=CJFD&yx=&pr=&URLID=,,,,
190.0,2020-07-15,189.0,天花接种、牛痘接种与美国早期天花防疫机制的形成,丁见民,安徽史学,期刊,,501.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=189&recid=&FileName=AFSX202004002&DbName=CJFDLAST2020&DbCode=CJFD&yx=&pr=&URLID=,,,,
191.0,2020-07-15,190.0,李鸿章致李瀚章家书二通释读,马忠文,安徽史学,期刊,,258.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=190&recid=&FileName=AFSX202004007&DbName=CJFDLAST2020&DbCode=CJFD&yx=&pr=&URLID=,,,,
192.0,2020-07-15,191.0,从“总领译事”到掌理学校图书编译——国立编译馆研究,胡喜云,安徽史学,期刊,,198.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=191&recid=&FileName=AFSX202004013&DbName=CJFDLAST2020&DbCode=CJFD&yx=&pr=&URLID=,,,,
193.0,2020-07-15,192.0,三祖寺(潜山),涂卫东,安徽史学,期刊,,28.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=192&recid=&FileName=AFSX202004021&DbName=CJFDLAST2020&DbCode=CJFD&yx=&pr=&URLID=,,,,
194.0,2020-07-15,193.0,紫来桥(桐城),吴菲,安徽史学,期刊,,16.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=193&recid=&FileName=AFSX202004022&DbName=CJFDLAST2020&DbCode=CJFD&yx=&pr=&URLID=,,,,
195.0,2020-07-15,194.0,雪映红楼(安庆),陈东,安徽史学,期刊,,13.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=194&recid=&FileName=AFSX202004023&DbName=CJFDLAST2020&DbCode=CJFD&yx=&pr=&URLID=,,,,
196.0,2020-07-15,195.0,《人论》,恩斯特·卡西尔,安徽史学,期刊,1.0,148.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=195&recid=&FileName=AFSX202004001&DbName=CJFDLAST2020&DbCode=CJFD&yx=&pr=&URLID=,,,,
197.0,2020-07-15,196.0,20世纪初美国的意大利移民女工境遇探析——以纽约市三角衬衫厂火灾为例,何黎萍; 侯俊玲; 孙静静,安徽史学,期刊,1.0,251.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=196&recid=&FileName=AFSX202004003&DbName=CJFDLAST2020&DbCode=CJFD&yx=&pr=&URLID=,,,,
198.0,2020-07-15,197.0,宋代地方公务宴饮过度原因考论,纪昌兰,安徽史学,期刊,1.0,254.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=197&recid=&FileName=AFSX202004004&DbName=CJFDLAST2020&DbCode=CJFD&yx=&pr=&URLID=,,,,
199.0,2020-07-15,198.0,清代京畿地区的土地典交易,赵牟云,安徽史学,期刊,2.0,260.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=198&recid=&FileName=AFSX202004005&DbName=CJFDLAST2020&DbCode=CJFD&yx=&pr=&URLID=,,,,
200.0,2020-07-15,199.0,太平天国时期京米筹措研究,许存健,安徽史学,期刊,3.0,247.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=199&recid=&FileName=AFSX202004006&DbName=CJFDLAST2020&DbCode=CJFD&yx=&pr=&URLID=,,,,
201.0,2020-07-15,200.0,“忠义”与“夷夏”:近代中国民族英雄记忆建构中的两种话语,郭辉; 胡丞嗣,安徽史学,期刊,1.0,642.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=200&recid=&FileName=AFSX202004012&DbName=CJFDLAST2020&DbCode=CJFD&yx=&pr=&URLID=,,,,
202.0,2020-07-15,201.0,光绪前期清廷整顿财政的努力与限度——以清查外省库款为中心的考察,胡雁,安徽史学,期刊,1.0,133.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=201&recid=&FileName=AFSX202004009&DbName=CJFDLAST2020&DbCode=CJFD&yx=&pr=&URLID=,,,,
203.0,2020-07-15,202.0,晚清时期企业体制变迁及其现代化审视——对汉阳铁厂“招商承办”之再思考,杨洋,安徽史学,期刊,,296.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=202&recid=&FileName=AFSX202004010&DbName=CJFDLAST2020&DbCode=CJFD&yx=&pr=&URLID=,,,,
204.0,2020-07-15,203.0,晚清海外捐纳政策分析,张赛群,安徽史学,期刊,1.0,189.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=203&recid=&FileName=AFSX202004011&DbName=CJFDLAST2020&DbCode=CJFD&yx=&pr=&URLID=,,,,
205.0,2020-07-15,204.0,华北解放区南下干部与南方新区征粮实践研究(1948—1950年),代雅洁; 杨豪,安徽史学,期刊,1.0,395.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=204&recid=&FileName=AFSX202004014&DbName=CJFDLAST2020&DbCode=CJFD&yx=&pr=&URLID=,,,,
206.0,2020-07-15,205.0,晚清徽商在皖西大别山区的贸易与纠纷——以《照抄知单议约禀帖告示稿》抄本为中心,王振忠,安徽史学,期刊,1.0,249.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=205&recid=&FileName=AFSX202004015&DbName=CJFDLAST2020&DbCode=CJFD&yx=&pr=&URLID=,,,,
207.0,2020-07-15,206.0,抗战时期安徽沦陷区若干社会组织的成立时间问题,吴元康,安徽史学,期刊,1.0,103.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=206&recid=&FileName=AFSX202004020&DbName=CJFDLAST2020&DbCode=CJFD&yx=&pr=&URLID=,,,,
208.0,2020-07-15,207.0,社会主义论战之“外”的胡适及其“国家社会主义”论,梅乐,安徽史学,期刊,,267.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=207&recid=&FileName=AFSX202004018&DbName=CJFDLAST2020&DbCode=CJFD&yx=&pr=&URLID=,,,,
209.0,2020-07-15,208.0,严复佚文两篇及若干全集失收文字,张仲民,安徽史学,期刊,2.0,200.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=208&recid=&FileName=AFSX202004008&DbName=CJFDLAST2020&DbCode=CJFD&yx=&pr=&URLID=,,,,
210.0,2020-07-15,209.0,江靖宇与华东战区“解放军官训练团”创建发展,房列曙,安徽史学,期刊,,129.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=209&recid=&FileName=AFSX202004019&DbName=CJFDLAST2020&DbCode=CJFD&yx=&pr=&URLID=,,,,
211.0,2020-05-15,210.0,晚清财政转型下的河务运作——以河银制度为中心,潘威; 张丽洁,安徽史学,期刊,5.0,194.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=210&recid=&FileName=AFSX202003005&DbName=CJFDLAST2020&DbCode=CJFD&yx=&pr=&URLID=,,,,
212.0,2020-05-15,211.0,蓄水还是排水:新中国治水思想的新突破——以淮河治理为例,王瑞芳; 范刻心,安徽史学,期刊,,327.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=211&recid=&FileName=AFSX202003015&DbName=CJFDLAST2020&DbCode=CJFD&yx=&pr=&URLID=,,,,
213.0,2020-05-15,212.0,清代县医学的运作与地方医疗——以南部县为中心,刘桂海,安徽史学,期刊,3.0,257.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=212&recid=&FileName=AFSX202003004&DbName=CJFDLAST2020&DbCode=CJFD&yx=&pr=&URLID=,,,,
214.0,2020-05-15,213.0,李鸿章翁同龢往来信札考释,李文君,安徽史学,期刊,1.0,251.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=213&recid=&FileName=AFSX202003017&DbName=CJFDLAST2020&DbCode=CJFD&yx=&pr=&URLID=,,,,
215.0,2020-05-15,214.0,程长庚雕像,赵文轩,安徽史学,期刊,,14.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=214&recid=&FileName=AFSX202003018&DbName=CJFDLAST2020&DbCode=CJFD&yx=&pr=&URLID=,,,,
216.0,2020-05-15,215.0,邓石如雕像,赵文轩,安徽史学,期刊,,15.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=215&recid=&FileName=AFSX202003019&DbName=CJFDLAST2020&DbCode=CJFD&yx=&pr=&URLID=,,,,
217.0,2020-05-15,216.0,姚永概雕像,洪霞,安徽史学,期刊,,15.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=216&recid=&FileName=AFSX202003020&DbName=CJFDLAST2020&DbCode=CJFD&yx=&pr=&URLID=,,,,
218.0,2020-05-15,217.0,康有为与梁启超的未来想象及其历史哲学,姚达兑,安徽史学,期刊,4.0,326.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=217&recid=&FileName=AFSX202003006&DbName=CJFDLAST2020&DbCode=CJFD&yx=&pr=&URLID=,,,,
219.0,2020-05-15,218.0,早年范文澜的学术与思想新探,叶毅均,安徽史学,期刊,1.0,277.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=218&recid=&FileName=AFSX202003007&DbName=CJFDLAST2020&DbCode=CJFD&yx=&pr=&URLID=,,,,
220.0,2020-05-15,219.0,从伊凡四世“出走事件”看俄罗斯国家的政治博弈,刘雪野; 王晓菊,安徽史学,期刊,,267.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=219&recid=&FileName=AFSX202003012&DbName=CJFDLAST2020&DbCode=CJFD&yx=&pr=&URLID=,,,,
221.0,2020-05-15,220.0,萨默塞特案件与英属大西洋世界司法废奴的发展,金海,安徽史学,期刊,2.0,99.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=220&recid=&FileName=AFSX202003013&DbName=CJFDLAST2020&DbCode=CJFD&yx=&pr=&URLID=,,,,
222.0,2020-05-15,221.0,“抡才”何以“大典”:明代科举经费的编征与演变,丁修真,安徽史学,期刊,2.0,193.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=221&recid=&FileName=AFSX202003003&DbName=CJFDLAST2020&DbCode=CJFD&yx=&pr=&URLID=,,,,
223.0,2020-05-15,222.0,明清时期的绍兴及其地域文化——兼及江南区域视野下之吴越比较,陈宝良,安徽史学,期刊,1.0,517.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=222&recid=&FileName=AFSX202003002&DbName=CJFDLAST2020&DbCode=CJFD&yx=&pr=&URLID=,,,,
224.0,2020-05-15,223.0,姻娅重重:清乾隆时期歙县盐商姻亲关系考论,汪庆元,安徽史学,期刊,1.0,151.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=223&recid=&FileName=AFSX202003014&DbName=CJFDLAST2020&DbCode=CJFD&yx=&pr=&URLID=,,,,
225.0,2020-05-15,224.0,制造华佗:中国古代华佗形象的演变,曾庆环,安徽史学,期刊,,319.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=224&recid=&FileName=AFSX202003016&DbName=CJFDLAST2020&DbCode=CJFD&yx=&pr=&URLID=,,,,
226.0,2020-05-15,225.0,论近代中国企业的“负债经营”,朱荫贵,安徽史学,期刊,2.0,779.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=225&recid=&FileName=AFSX202003001&DbName=CJFDLAST2020&DbCode=CJFD&yx=&pr=&URLID=,,,,
227.0,2020-05-15,226.0,五四时期“社会改造”话语中的平民化理念,吴汉全,安徽史学,期刊,,295.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=226&recid=&FileName=AFSX202003008&DbName=CJFDLAST2020&DbCode=CJFD&yx=&pr=&URLID=,,,,
228.0,2020-05-15,227.0,政党、宗教与社会控制:南京国民政府初期国民党对基督教青年会的国家治理,张乐,安徽史学,期刊,,293.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=227&recid=&FileName=AFSX202003009&DbName=CJFDLAST2020&DbCode=CJFD&yx=&pr=&URLID=,,,,
229.0,2020-05-15,228.0,近代中国商人的“参政运动”——抗战后商会争取国大代表、立法委员名额述论,朱虹,安徽史学,期刊,1.0,138.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=228&recid=&FileName=AFSX202003010&DbName=CJFDLAST2020&DbCode=CJFD&yx=&pr=&URLID=,,,,
230.0,2020-05-15,229.0,再论太行解放区村财政整理问题(1946—1949年),岳谦厚; 原汇蔷,安徽史学,期刊,,220.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=229&recid=&FileName=AFSX202003011&DbName=CJFDLAST2020&DbCode=CJFD&yx=&pr=&URLID=,,,,
231.0,2020-03-15,230.0,枞阳(浮山),吴保国,安徽史学,期刊,,36.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=230&recid=&FileName=AFSX202002024&DbName=CJFDLAST2020&DbCode=CJFD&yx=&pr=&URLID=,,,,
232.0,2020-03-15,231.0,小孤山(宿松),雷鸣,安徽史学,期刊,,45.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=231&recid=&FileName=AFSX202002022&DbName=CJFDLAST2020&DbCode=CJFD&yx=&pr=&URLID=,,,,
233.0,2020-03-15,232.0,巨石山(安庆),陈智,安徽史学,期刊,,11.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=232&recid=&FileName=AFSX202002023&DbName=CJFDLAST2020&DbCode=CJFD&yx=&pr=&URLID=,,,,
234.0,2020-03-15,233.0,东亚福祉文化的基础——前近代中国台湾地区、朝鲜半岛和日本的比较研究,大友昌子; 吴雅莉; 李慧君,安徽史学,期刊,1.0,183.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=233&recid=&FileName=AFSX202002004&DbName=CJFDLAST2020&DbCode=CJFD&yx=&pr=&URLID=,,,,
235.0,2020-03-15,234.0,台湾当局与日本对琉球“剩余主权”说,褚静涛,安徽史学,期刊,,166.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=234&recid=&FileName=AFSX202002014&DbName=CJFDLAST2020&DbCode=CJFD&yx=&pr=&URLID=,,,,
236.0,2020-03-15,235.0,殖民前的澳洲并非“无主地”,汪诗明,安徽史学,期刊,2.0,202.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=235&recid=&FileName=AFSX202002017&DbName=CJFDLAST2020&DbCode=CJFD&yx=&pr=&URLID=,,,,
237.0,2020-03-15,236.0,简牍所见秦律“家罪”考论,薛洪波,安徽史学,期刊,,275.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=236&recid=&FileName=AFSX202002005&DbName=CJFDLAST2020&DbCode=CJFD&yx=&pr=&URLID=,,,,
238.0,2020-03-15,237.0,后唐同光政权方镇控制战略研究,屈卡乐; 卢地生,安徽史学,期刊,2.0,229.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=237&recid=&FileName=AFSX202002006&DbName=CJFDLAST2020&DbCode=CJFD&yx=&pr=&URLID=,,,,
239.0,2020-03-15,238.0,北宋太原慕容氏家族发展考论,姜勇,安徽史学,期刊,1.0,183.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=238&recid=&FileName=AFSX202002019&DbName=CJFDLAST2020&DbCode=CJFD&yx=&pr=&URLID=,,,,
240.0,2020-03-15,239.0,张英与戴名世关系考,张体云,安徽史学,期刊,,100.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=239&recid=&FileName=AFSX202002020&DbName=CJFDLAST2020&DbCode=CJFD&yx=&pr=&URLID=,,,,
241.0,2020-03-15,240.0,西方学界中国近代慈善史研究述评,爱德华·麦科德; 胡水玉; 曾桂林,安徽史学,期刊,,350.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=240&recid=&FileName=AFSX202002003&DbName=CJFDLAST2020&DbCode=CJFD&yx=&pr=&URLID=,,,,
242.0,2020-03-15,241.0,说书人与乡绅社会:晚清民国江南县域地区的文化入境与文人应对,张盛满,安徽史学,期刊,,215.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=241&recid=&FileName=AFSX202002010&DbName=CJFDLAST2020&DbCode=CJFD&yx=&pr=&URLID=,,,,
243.0,2020-03-15,242.0,《申报》所见晚清招商局之账目公开,李玉,安徽史学,期刊,,279.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=242&recid=&FileName=AFSX202002007&DbName=CJFDLAST2020&DbCode=CJFD&yx=&pr=&URLID=,,,,
244.0,2020-03-15,243.0,晚清上海陋俗治理中的司法困境与中西矛盾——以法租界内的台基案为例,侯庆斌,安徽史学,期刊,2.0,191.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=243&recid=&FileName=AFSX202002009&DbName=CJFDLAST2020&DbCode=CJFD&yx=&pr=&URLID=,,,,
